"size","start_time","stop_time","total_time"
"1","1571164185802","1571164185803","1"
"2","1571164185805","1571164185805","0"
"3","1571164185805","1571164185805","0"
"4","1571164185805","1571164185805","0"
"5","1571164185806","1571164185806","0"
"6","1571164185806","1571164185806","0"
"7","1571164185807","1571164185807","0"
"8","1571164185807","1571164185808","1"
"9","1571164185808","1571164185808","0"
"10","1571164185809","1571164185809","0"
"11","1571164185810","1571164185811","1"
"12","1571164185812","1571164185812","0"
"13","1571164185815","1571164185816","1"
"14","1571164185821","1571164185823","2"
"15","1571164185828","1571164185833","5"
"16","1571164185837","1571164185841","4"
"17","1571164185846","1571164185851","5"
"18","1571164185861","1571164185872","11"
"19","1571164185892","1571164186188","296"
"20","1571164186234","1571164186881","647"
"21","1571164186984","1571164188535","1551"
"22","1571164188821","1571164191351","2530"
"23","1571164191848","1571164196888","5040"
"24","1571164198537","1571164210266","11729"
