"power","start_time","stop_time"
"1","1569948970633","1569948970637"
"2","1569948970637","1569948970638"
"3","1569948970638","1569948970639"
"4","1569948970639","1569948970640"
"5","1569948970641","1569948970642"
"6","1569948970643","1569948970646"
"7","1569948970647","1569948970654"
"8","1569948970657","1569948970672"
"9","1569948970677","1569948970704"
"10","1569948970714","1569948970769"
"11","1569948970790","1569948970906"
"12","1569948970947","1569948971200"
"13","1569948971284","1569948971837"
"14","1569948972015","1569948973268"
"15","1569948973602","1569948976164"
