"power","start_time","stop_time"
"1","1569967914680","1569967914681"
"2","1569967914681","1569967914681"
"3","1569967914682","1569967914682"
"4","1569967914683","1569967914684"
"5","1569967914686","1569967914691"
"6","1569967914692","1569967914697"
"7","1569967914699","1569967914709"
"8","1569967914712","1569967914737"
"9","1569967914743","1569967914823"
"10","1569967914835","1569967915122"
"11","1569967915146","1569967916134"
"12","1569967916176","1569967919861"
"13","1569967919948","1569967934288"
"14","1569967934450","1569967992342"
"15","1569967992723","1569968221184"
"16","1569968221931","1569969128214"
