"power","start_time","stop_time"
"1","1569991732384","1569991732392"
"2","1569991732392","1569991732396"
"3","1569991732397","1569991732402"
"4","1569991732402","1569991732407"
"5","1569991732408","1569991732414"
"6","1569991732415","1569991732420"
"7","1569991732422","1569991732431"
"8","1569991732434","1569991732446"
"9","1569991732452","1569991732470"
"10","1569991732481","1569991732497"
"11","1569991732518","1569991732552"
"12","1569991732594","1569991732669"
"13","1569991732752","1569991732898"
"14","1569991733071","1569991733403"
"15","1569991733755","1569991734391"
"16","1569991735072","1569991736355"
"17","1569991737733","1569991740154"
"18","1569991742975","1569991748063"
