"power","start_time","stop_time"
"1","1569991895084","1569991895085"
"2","1569991895085","1569991895085"
"3","1569991895085","1569991895085"
"4","1569991895086","1569991895086"
"5","1569991895087","1569991895088"
"6","1569991895089","1569991895090"
"7","1569991895092","1569991895095"
"8","1569991895098","1569991895104"
"9","1569991895109","1569991895129"
"10","1569991895140","1569991895213"
"11","1569991895235","1569991895519"
"12","1569991895563","1569991896681"
"13","1569991896775","1569991901100"
"14","1569991901275","1569991920523"
"15","1569991920867","1569991999879"
"16","1569992000603","1569992312793"
"17","1569992314164","1569994909141"
