"size","start_time","stop_time","total_time"
"1","1571122069599","1571122069601","2"
"2","1571122069602","1571122069602","0"
"3","1571122069602","1571122069603","1"
"4","1571122069603","1571122069603","0"
"5","1571122069604","1571122069605","1"
"6","1571122069605","1571122069606","1"
"7","1571122069607","1571122069608","1"
"8","1571122069609","1571122069610","1"
"9","1571122069611","1571122069612","1"
"10","1571122069614","1571122069615","1"
"11","1571122069618","1571122069620","2"
"12","1571122069624","1571122069627","3"
"13","1571122069636","1571122069641","5"
"14","1571122069652","1571122069663","11"
"15","1571122069692","1571122069721","29"
"16","1571122069786","1571122069840","54"
"17","1571122069918","1571122069997","79"
"18","1571122070178","1571122070350","172"
"19","1571122070803","1571122071151","348"
"20","1571122072139","1571122072914","775"
"21","1571122074992","1571122076672","1680"
"22","1571122081320","1571122084986","3666"
"23","1571122094467","1571122102639","8172"
"24","1571122125174","1571122142761","17587"
