"size","start_time","stop_time","total_time"
"1","1571078714083","1571078714086","3"
"2","1571078714088","1571078714088","0"
"3","1571078714088","1571078714088","0"
"4","1571078714089","1571078714089","0"
"5","1571078714090","1571078714091","1"
"6","1571078714092","1571078714093","1"
"7","1571078714094","1571078714096","2"
"8","1571078714097","1571078714105","8"
"9","1571078714106","1571078714123","17"
"10","1571078714125","1571078714159","34"
"11","1571078714160","1571078714326","166"
"12","1571078714327","1571078714941","614"
"13","1571078714944","1571078717339","2395"
"14","1571078717342","1571078728124","10782"
"15","1571078728130","1571078780880","52750"
"16","1571078780888","1571079031326","250438"
"17","1571079031348","1571080129218","1097870"
