"size","start_time","stop_time","total_time"
"1","1571078714087","1571078714088","1"
"2","1571078714088","1571078714088","0"
"3","1571078714089","1571078714089","0"
"4","1571078714090","1571078714090","0"
"5","1571078714092","1571078714092","0"
"6","1571078714094","1571078714094","0"
"7","1571078714097","1571078714097","0"
"8","1571078714105","1571078714106","1"
"9","1571078714124","1571078714124","0"
"10","1571078714160","1571078714160","0"
"11","1571078714327","1571078714327","0"
"12","1571078714942","1571078714943","1"
"13","1571078717341","1571078717342","1"
"14","1571078728126","1571078728130","4"
"15","1571078780882","1571078780888","6"
"16","1571079031335","1571079031348","13"
"17","1571080129229","1571080129252","23"
