"power","start_time","stop_time"
"1","1569916016226","1569916016230"
"2","1569916016230","1569916016231"
"3","1569916016231","1569916016232"
"4","1569916016232","1569916016235"
"5","1569916016235","1569916016240"
"6","1569916016241","1569916016247"
"7","1569916016248","1569916016269"
"8","1569916016271","1569916016420"
"9","1569916016425","1569916017061"
"10","1569916017070","1569916019668"
"11","1569916019686","1569916029941"
"12","1569916029977","1569916071461"
"13","1569916071534","1569916243634"
"14","1569916243787","1569916924899"
