"power","start_time","stop_time"
"1","1569967466017","1569967466023"
"2","1569967466023","1569967466028"
"3","1569967466028","1569967466033"
"4","1569967466033","1569967466038"
"5","1569967466039","1569967466044"
"6","1569967466045","1569967466050"
"7","1569967466052","1569967466060"
"8","1569967466063","1569967466075"
"9","1569967466081","1569967466101"
"10","1569967466112","1569967466127"
"11","1569967466148","1569967466185"
"12","1569967466227","1569967466298"
"13","1569967466387","1569967466549"
"14","1569967466725","1569967467066"
"15","1569967467481","1569967468153"
"16","1569967468924","1569967470190"
