"power","start_time","stop_time"
"1","1569967458349","1569967458349"
"2","1569967458350","1569967458350"
"3","1569967458351","1569967458352"
"4","1569967458352","1569967458356"
"5","1569967458356","1569967458362"
"6","1569967458363","1569967458376"
"7","1569967458377","1569967458405"
"8","1569967458408","1569967458474"
"9","1569967458479","1569967458595"
"10","1569967458606","1569967458646"
"11","1569967458667","1569967458752"
"12","1569967458796","1569967458993"
"13","1569967459079","1569967459446"
"14","1569967459612","1569967460361"
"15","1569967460696","1569967462228"
"16","1569967462887","1569967466005"
