"power","start_time","stop_time"
"1","1569991839469","1569991839471"
"2","1569991839471","1569991839472"
"3","1569991839472","1569991839472"
"4","1569991839473","1569991839473"
"5","1569991839474","1569991839475"
"6","1569991839476","1569991839479"
"7","1569991839481","1569991839488"
"8","1569991839491","1569991839506"
"9","1569991839512","1569991839540"
"10","1569991839552","1569991839610"
"11","1569991839633","1569991839759"
"12","1569991839803","1569991840076"
"13","1569991840166","1569991840767"
"14","1569991840974","1569991842274"
"15","1569991842631","1569991845465"
"16","1569991846330","1569991852337"
"17","1569991853822","1569991866192"
"18","1569991869081","1569991895081"
