"power","start_time","stop_time"
"1","1569991702063","1569991702063"
"2","1569991702064","1569991702064"
"3","1569991702065","1569991702066"
"4","1569991702067","1569991702069"
"5","1569991702070","1569991702075"
"6","1569991702076","1569991702089"
"7","1569991702091","1569991702111"
"8","1569991702114","1569991702124"
"9","1569991702130","1569991702152"
"10","1569991702163","1569991702208"
"11","1569991702232","1569991702331"
"12","1569991702375","1569991702545"
"13","1569991702630","1569991702977"
"14","1569991703144","1569991703885"
"15","1569991704225","1569991705700"
"16","1569991706446","1569991709462"
"17","1569991710855","1569991716861"
"18","1569991719712","1569991732370"
