"power","start_time","stop_time"
"1","1569991645093","1569991645094"
"2","1569991645096","1569991645097"
"3","1569991645098","1569991645099"
"4","1569991645099","1569991645101"
"5","1569991645102","1569991645105"
"6","1569991645106","1569991645112"
"7","1569991645115","1569991645124"
"8","1569991645128","1569991645139"
"9","1569991645145","1569991645170"
"10","1569991645181","1569991645239"
"11","1569991645266","1569991645392"
"12","1569991645442","1569991645690"
"13","1569991645793","1569991646239"
"14","1569991646417","1569991647322"
"15","1569991647695","1569991649490"
"16","1569991650348","1569991654916"
"17","1569991656568","1569991668478"
"18","1569991671730","1569991702055"
